"# of Use","número de usos"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(ns)"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","O módulo do catálogo flat tem um limite de %2\$d filtrável e/ou tipo de atributos possíveis. Atualmente existem %1\$d deles. Por favor, reduza o número de filtrável/tipo de atributos possíveis para usar este módulo."
"The attribute model is not defined","O modelo de atributo não está definido"
"The attribute set has been saved.","O grupo de atributos foi salvo."
"The base directory to upload image file is not specified.","O diretório base para carregar a imagem não está especificado."
"The category has been deleted.","A categoria foi excluída."
"The category has been saved.","A categoria foi salva."
"The comparison list was cleared.","A lista de comparação está limpa."
"The email template is not specified by administrator.","O template de e-mail não foi especificado pelo administrador."
"The filters must be an array.","Os filtros devem ser um vetor."
"The image contents is not valid base64 data.","O conteúdo da imagem não é um dado base64 válido."
"The image is not specified.","A imagem não está especificada."
"The product %s has been added to comparison list.","O produto %s foi adicionado na lista de comparação."
"The product %s has been removed from comparison list.","O produto %s foi excluído da lista de comparação."
"The product attribute has been deleted.","O atributo do produto foi excluído."
"The product attribute has been saved.","O atributo do produto foi salvo."
"The product has been created.","O produto foi criado."
"The product has been deleted.","O produto foi excluído."
"The product has been duplicated.","O produto foi duplicado."
"The product has been saved.","O produto foi salvo."
"The product has required options","O produto possui opções obrigatórias"
"The review has been deleted","A opinião foi excluída"
"The review has been saved.","A opinião foi salva."
"The review was removed by another user or does not exist.","A opinião foi excluída por outro usuário ou não existe."
"The search was deleted.","A busca foi excluída."
"The text is too long","O texto é muito grande"
"There are no %s available.","Não existe %s disponível."
"There are no customers for this alert","Não existe clientes para este alerta"
"There are no customers for this alert.","Não existe clientes para este alerta."
"There are no products matching the selection.","Não existem produtos com esta seleção."
"This Attribute no longer exists","Este atributo não existe mais"
"This attribute cannot be deleted.","Este atributo não pode ser excluído."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"This attribute cannot be updated.","Este atributo não pode ser atualizado."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é usado em produtos configuráveis. Você não pode remover-lo do grupo de atributos."
"This attribute no longer exists","Este atributo não existe mais"
"This attribute set no longer exists.","Este grupo de atributos não existe mais."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos usados em produtos configuráveis. Por favor, mova estes atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos do sistema. Por favor, mova os atributos do sistema para outro grupo e tente novamente."
"This is a required option","Esta é uma opção obrigatória"
"This product no longer exists.","Este produto não existe mais."
"This search no longer exists.","Esta busca não existe mais."
"Tier Pricing","Preço diferenciado"
"Tile","Telha"
"Time Format","Formato de hora"
"Title","Título"
"To reindex the enabled product(s), the store or product must be specified.","Para re-indexar produtos disponíveis, a loja ou produto deve se especificado."
"Top/Left","Topo/Esquerda"
"Top/Right","Topo/Direita"
"Total Qty Base Items","Quantidade total de itens de base"
"Total incl. Tax: %1$s","Total incl. imposto: %1$s"
"Total of %d record(s) have been deleted.","%d registro(s) excluído(s)."
"Total of %d record(s) have been updated.","%d registro(s) atualizado(s)."
"Type","Tipo"
"URL Rewrite Management","Gerenciador de URL rewrite"
"Unable to complete this request.","Não foi possível completar esta solicitação."
"Unable to find a search term to delete.","Não foi possível encontrar um termo de busca para excluir."
"Unable to find an attribute to delete.","Não foi possível encontrar um atributo para excluir."
"Unable to get the product ID.","Não foi possível obter o ID do produto."
"Unassigned Attributes","Atributos não atribuídos"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV ""%s"" desconhecido."
"Unknown attribute: %s.","Atributo desconhecido: %s."
"Unsupported product type ""%s"".","Tipo de produto ""%s"" não suportado."
"Up-sells","Vendas agregadas"
"Update","Atualizar"
"Update Attributes","Atualizar atributos"
"Update Tier Price","Atualizar preço diferenciado"
"Update assigned product","Atualizar produto atribuído"
"Update attributes","Atualizar atributos"
"Update category","Atualizar categoria"
"Update product","Atualizar produto"
"Update product image","Atualizar imagem do produto"
"Update product link","Atualizar link do produto"
"Update product tier prices","Atualizar preços diferenciados do produto"
"Upload new product image ","Carregar nova imagem do produto"
"Url Rewrite Management","Gerenciador de URL rewrite"
"Use Canonical Link Meta Tag For Categories","Usar canonical link meta tag para categorias"
"Use Canonical Link Meta Tag For Products","Usar canonical link meta tag para produtos"
"Use Categories Path for Product URLs","Usar caminho de categorias para URLs do produto"
"Use Config Settings","Usar as configurações do config"
"Use Default Value","Usar valor padrão"
"Use Flat Catalog Category","Usar catálogo flat de categoria"
"Use Flat Catalog Product","Usar catálogo flat de produto"
"Use In Layered Navigation","Usar em navegação por camadas"
"Use In Search Results Layered Navigation","Usar em resultados de pesquisas de navegação por camadas"
"Use JavaScript Calendar","Usar calendário JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usar URLs estáticas para conteúdo mídia em WYSIWYG para catálogo"
"Use To Create Configurable Product","Usar para criar produto configurável"
"Use Tree Like Category Sitemap","Usar mapa do site em forma árvore"
"Use default","Usar padrão"
"Use for Promo Rule Conditions","Usar para condições de regra da promoção"
"Use four-digit year format.","Usar formato de ano com quatro dígitos."
"Use in Advanced Search","Usar em busca avançada"
"Use in Layered Navigation","Usar em navegação por camadas"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar em navegação por camadas<br/>(Pode ser usada somente com tipo de entrada de catálogo 'Dropdown')"
"Use in Quick Search","Usar em busca rápida"
"Used for Sorting in Product Listing","Usado para ordenar na listagem de produtos"
"Used in Product Listing","Usado em listagem de produtos"
"Value for ""%s"" is invalid.","Valor para ""%s"" é inválido."
"Value for ""%s"" is invalid: %s","Valor para ""%s"" é inválido: %s"
"Varchar","Varchar"
"View as","Visualizar como"
"Virtual Product","Produto virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas páginas do catálogo no frontend"
"Visible on Product View Page on Front-end","Visível na página de visualização do produto no frontend"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marca d'água"
"Watermark Default Size","Tamanho padrão de marca d'água"
"Watermark Opacity, Percent","Opacidade da marca d'água, porcentagem"
"Watermark Position","Posição da marca d'água"
"We Also Recommend","Nós recomendamos também"
"Website","Website"
"Websites","Websites"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Mostrar ""todas"" opções no dropdown ""mostrar X por página""."
"Wrong BuyRequest instance in options group.","Instância de solicitação de compra incorreta nas opções de grupo."
"Wrong option instance type in options group.","Tipo de instância de opção incorreto nas opções de grupo."
"Wrong option type to get group instance.","Tipo de opção incorreto para obter instância de grupo."
"Wrong product instance type in options group.","Tipo de instância de produto incorreto nas opções de grupo."
"Wrong product type filter specified","Filtro do tipo de produto especificado incorreto"
"Wrong quote item instance in options group.","Instância de cotação de item incorreta nas opções de grupo."
"Wrong quote item option instance in options group.","Instância de opção de cotação de item incorreta nas opções de grupo."
"Year Range","Intervalo de anos"
"Yes","Sim"
"You cannot email this product to a friend.","Você não pode enviar e-mail sobre este produto para um amigo."
"You cannot remove system attribute from this set.","Você não pode remover atributos de sistema deste grupo."
"You cannot send more than %d emails at a time.","Você não pode enviar mais que %d e-mails de uma vez."
"You have exceeded limit of %d sends in an hour.","Você excedeu o limite de %d envios em uma hora."
"You have no items to compare.","Você não tem itens para comparar."
"You have to specify at least one recipient.","Você tem que especificar pelo menos um receptor."
"You may also be interested in the following product(s)","Você pode também estar interessado nos seguintes produtos"
"Zoom In","Aumentar"
"Zoom Out","Reduzir"
"[GLOBAL]","[GLOBAL]"
"and","e"
"categories","categorias"
"each","cada"
"ex. http://domain.com","ex. http://dominio.com.br"
"leave blank if its not an image","deixe em branco se isto não é uma imagem"
"per page","por página"
"products","produtos"
"px.","px."
"save","salvar"
"select all","selecionar todos"
"unselect all","limpar seleções"
"%s and above","%s ou mais"
